s_1;s_2;s_3;s_4;s_5;s_20;s_28;s_25;s_29;s_30;s_7_1;s_7_2;s_7_3;s_9;s_10;s_12;s_11;s_13;s_15;s_14;s_16;s_17;s_18;s_19;s_27;lang;email;stato_1;stato_2;stato_3;stato_4;stato_5
3;55;3;4;1;4;4;3;4;1;0;0;1;3;"Economia";3;3;3;4;3;3;4;1;2;1;5;"";0;0;0;1;0
3;26;5;4;1;3;1;1;4;1;1;0;0;4;"????? ?? ????? ????????????? ??? ??? ????????";4;4;5;6;2;2;5;1;1;1;3;"";0;0;0;1;0
2;36;3;4;1;4;3;3;4;2;0;0;1;4;"Artificial";2;3;2;4;3;3;2;2;2;2;5;"";0;0;0;1;0
3;60;3;3;1;4;4;4;5;4;0;0;1;4;"Sucedáneos";2;3;3;5;5;3;4;2;2;2;5;"";0;0;0;1;0
2;36;3;4;1;5;4;4;4;3;0;0;1;4;"Falsa hamburguesa";3;3;6;4;5;5;7;2;2;2;5;"";0;0;0;1;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;3;"";0;1;0;0;0
3;34;5;4;1;5;4;4;4;1;1;1;1;3;"???????????";3;4;3;5;3;3;5;1;2;2;3;"";0;0;0;1;0
3;42;3;4;2;4;3;3;4;3;1;0;0;4;"";;;;;;;;;;;5;"";0;0;1;0;0
3;26;5;2;1;4;2;4;4;2;0;0;1;4;"????? ??? ????? ???";2;2;4;5;5;3;4;2;2;2;3;"";0;0;0;1;0
3;27;4;2;1;4;3;5;4;3;1;0;1;3;"";2;2;2;5;4;4;;;;;;"";0;0;1;0;0
3;30;4;4;1;4;4;4;4;2;0;0;1;3;"Kemija";2;3;2;4;4;4;7;2;2;2;4;"";0;0;0;1;0
3;25;3;4;1;4;3;2;3;2;1;1;1;3;"Que no viene del animal";3;3;3;5;4;3;4;1;1;1;5;"";0;0;0;1;0
3;28;5;4;1;4;3;3;4;1;1;1;1;4;"???????";2;3;3;5;4;4;4;2;2;2;3;"";0;0;0;1;0
3;29;5;4;1;5;4;4;4;2;1;0;0;3;"????????????";3;3;3;4;3;3;4;2;2;2;3;"";0;0;0;1;0
3;47;4;4;1;4;3;3;5;1;0;0;1;3;"Nemam trenutno mi?ljenje";2;5;3;4;3;3;2;2;2;2;4;"";0;0;0;1;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;3;"";0;1;0;0;0
3;26;5;4;1;4;4;4;4;1;1;0;1;3;"????? ?? ????? ??????? ??? ??????;";3;4;3;6;2;2;6;1;2;1;3;"";0;0;0;1;0
3;27;5;4;1;4;3;4;4;2;1;0;0;3;"??????????";3;3;2;4;4;4;4;2;2;2;3;"";0;0;0;1;0
2;20;5;2;1;4;3;3;4;2;0;0;1;3;"????? ???????, ?? ????? ????";6;3;3;5;5;4;4;2;2;2;3;"";0;0;0;1;0
3;55;3;4;1;4;2;4;4;3;0;0;1;4;"Carne artificial";6;6;6;4;5;3;7;2;2;2;5;"";0;0;0;1;0
3;28;3;4;1;3;3;3;2;2;1;1;1;4;"Asco";5;6;6;2;5;5;4;2;2;2;5;"";0;0;0;1;0
3;27;3;4;1;4;3;2;2;1;1;1;1;3;"Laboratorio";5;4;3;5;3;3;4;1;2;1;5;"";0;0;0;1;0
3;35;4;4;2;3;2;5;5;2;0;0;1;3;"Umjetno";3;3;3;4;5;5;2;2;2;2;4;"";0;0;0;1;0
3;59;4;4;1;4;3;2;2;1;0;0;1;6;"Unnatural";2;3;3;3;5;5;7;2;2;2;2;"";0;0;0;1;0
3;30;3;4;1;;;;;;0;0;0;;"";;;;;;;;;;;5;"";0;0;1;0;0
2;21;5;2;1;4;3;5;5;3;0;0;1;4;"??????????";3;4;3;5;4;4;5;2;2;2;3;"";0;0;0;1;0
3;40;4;4;1;4;4;4;4;3;0;0;1;4;"";3;3;3;4;3;2;;;;;4;"";0;0;1;0;0
3;26;4;2;1;2;4;4;4;3;0;0;1;3;"Prvi put ?ujem";3;3;3;4;3;3;4;2;2;2;4;"";0;0;0;1;0
2;29;5;2;1;3;3;3;3;2;0;0;1;4;"Vegan";4;4;4;6;3;2;5;2;2;1;3;"";0;0;0;1;0
3;45;4;4;1;4;4;4;5;1;0;1;1;4;"klonirano";3;4;3;5;4;3;2;2;2;2;4;"";0;0;0;1;0
3;52;4;4;2;3;3;4;4;2;0;0;1;3;"";;;;;;;;;;;4;"";0;0;1;0;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;2;"";0;1;0;0;0
3;50;5;4;2;3;3;1;4;1;0;0;1;3;"??????";6;2;6;4;3;3;2;2;2;2;3;"";0;0;0;1;0
3;60;4;1;1;4;3;5;4;1;1;0;1;3;"Umjetno";3;5;3;5;4;3;5;1;2;1;4;"";0;0;0;1;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;;"";0;1;0;0;0
3;20;5;4;1;;;;;;0;0;0;;"";;;;;;;;;;;3;"";0;0;1;0;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;;"";0;1;0;0;0
3;62;3;4;2;1;1;1;1;1;1;0;0;4;"No comerla";3;3;4;3;5;4;7;2;2;2;5;"";0;0;0;1;0
3;55;3;2;2;4;1;4;5;1;0;0;1;3;"Repelús, me quedo sin jamón.";2;2;2;4;6;6;4;2;2;2;5;"";0;0;0;1;0
3;30;4;4;1;4;3;3;5;2;0;0;1;3;"Sci Fi";3;3;3;5;3;2;5;1;2;1;2;"";0;0;0;1;0
3;28;5;4;1;6;3;3;3;2;1;0;1;3;"??????";3;3;6;4;3;4;4;2;2;1;3;"";0;0;0;1;0
3;50;3;4;1;4;3;4;4;2;0;0;1;3;"Que es artificial.";4;4;3;6;5;3;5;1;2;1;5;"";0;0;0;1;0
3;27;4;4;1;3;2;2;4;2;0;0;1;4;"Gmo";6;2;6;5;6;6;4;2;2;2;4;"";0;0;0;1;0
3;27;3;4;1;4;4;4;4;1;0;1;1;4;"Ultraprocesados";2;4;2;5;5;2;7;2;2;2;5;"";0;0;0;1;0
2;61;5;4;1;4;4;3;2;4;0;0;1;3;"?????? ???????????";2;6;2;2;4;3;7;2;2;2;;"";0;0;0;1;0
3;38;3;3;1;3;3;3;4;2;1;1;1;3;"";;;;;;;;;;;5;"";0;0;1;0;0
3;54;5;3;1;4;3;4;4;2;1;1;1;6;"????????????";6;2;3;2;3;4;4;2;2;2;3;"";0;0;0;1;0
3;32;5;4;1;1;1;1;1;1;1;1;0;6;"? ???? ????? ??? ?????????? ?? ""????? ??????? ?????????"".";3;3;5;4;2;3;5;2;2;1;3;"";0;0;0;1;0
3;40;4;2;1;3;1;2;3;1;0;0;1;3;"Umjetno";2;2;6;3;4;3;7;2;2;2;4;"";0;0;0;1;0
3;22;4;2;1;4;4;5;4;2;1;0;0;6;"";2;4;3;6;4;6;;;;;4;"";0;0;1;0;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;;"";0;1;0;0;0
2;21;5;4;1;4;4;1;3;3;0;0;1;3;"?????????????";3;4;3;5;3;3;5;1;2;1;3;"";0;0;0;1;0
3;32;3;3;1;4;4;4;3;2;1;0;0;4;"Fecundación";3;4;2;4;4;2;4;2;2;1;5;"";0;0;0;1;0
3;18;5;2;1;4;4;3;4;2;1;1;1;3;"??????????";2;3;2;5;5;3;4;2;2;1;3;"";0;0;0;1;0
3;36;4;2;1;4;4;4;4;1;0;1;0;3;"Ni?ta";3;5;3;5;3;3;5;1;2;1;4;"";0;0;0;1;0
3;57;5;2;2;3;3;2;1;2;0;0;1;3;"????????";6;2;6;3;2;6;7;2;2;2;3;"";0;0;0;1;0
3;32;4;4;1;;;;;;0;0;0;;"";;;;;;;;;;;4;"";0;0;1;0;0
2;22;4;4;1;5;5;4;4;3;0;0;1;3;"Genetski modificirana hrana";6;3;4;4;5;3;2;2;2;1;4;"";0;0;0;1;0
3;28;4;4;1;3;2;2;3;1;1;1;1;6;"roman Gazela i kosac autorice Margaret Atwood";3;4;3;5;4;3;4;2;2;1;4;"";0;0;0;1;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;4;"";0;1;0;0;0
3;30;3;4;1;3;2;2;4;2;1;0;1;3;"Que no és comida";2;3;4;5;5;4;4;1;2;1;5;"";0;0;0;1;0
3;65;3;4;1;4;3;2;3;3;0;1;1;4;"Qué le meterán?";3;2;3;4;5;2;4;2;2;2;;"";0;0;0;1;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;5;"";0;1;0;0;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;3;"";0;1;0;0;0
3;25;3;4;1;4;4;2;3;1;1;0;0;3;"Desde el desconocimiento, me produce rechazo.";3;2;4;5;3;3;4;2;2;2;5;"";0;0;0;1;0
2;52;5;4;1;4;3;2;5;2;0;0;1;3;"?????????? ???? «?? ???????????»";3;3;2;4;5;4;2;2;2;2;3;"";0;0;0;1;0
2;38;4;2;1;4;4;3;4;2;0;0;1;3;"GMO";2;2;3;4;5;3;5;2;2;2;4;"";0;0;0;1;0
3;33;4;4;1;4;4;4;3;2;1;0;1;3;"Utopia 2020 synt meat";5;4;3;6;3;3;5;2;2;1;4;"";0;0;0;1;0
3;18;5;4;1;5;2;3;5;1;0;0;1;3;"??????";3;3;2;4;4;3;4;1;2;1;3;"";0;0;0;1;0
3;58;3;3;2;4;3;2;1;3;0;1;0;6;"Prefabricadp";2;6;2;5;4;4;2;2;2;2;5;"";0;0;0;1;0
2;27;5;4;1;4;3;2;5;2;1;1;1;4;"Bioethics.";3;4;4;6;5;3;6;1;1;1;2;"";0;0;0;1;0
3;25;4;4;1;4;3;3;4;2;0;0;1;4;"Stanice";3;4;4;4;3;2;6;1;2;1;4;"";0;0;0;1;0
3;65;3;2;1;4;3;3;4;2;1;0;0;3;"Nada bueno";3;3;2;5;4;3;4;2;2;2;5;"";0;0;0;1;0
3;53;5;4;1;4;3;4;1;1;1;0;0;4;"??";3;4;3;5;3;3;5;2;1;2;3;"";0;0;0;1;0
3;24;3;4;1;1;1;1;1;1;1;1;1;6;"Sostenible";4;5;4;6;3;6;6;1;1;1;5;"";0;0;0;1;0
3;29;4;2;2;4;3;4;5;2;0;0;1;3;"Nista";3;3;2;4;4;3;2;2;2;1;4;"";0;0;0;1;0
3;33;5;4;1;4;2;4;2;1;1;1;0;4;"???????";3;3;3;6;3;3;5;1;2;1;3;"";0;0;0;1;0
3;29;3;4;1;3;1;1;3;1;0;1;0;4;"Mutante";2;3;2;4;5;5;4;2;2;2;5;"";0;0;0;1;0
2;23;4;4;1;3;3;3;5;2;0;0;1;3;"Umjetno";6;3;3;4;5;5;7;2;2;2;4;"";0;0;0;1;0
3;22;5;2;1;5;2;3;4;2;0;0;1;3;"??? ?????????? ?????????, ??? ??????? ???? ???????????? ?????";6;3;4;6;5;5;7;2;2;2;3;"";0;0;0;1;0
3;60;4;1;;;;;;;0;0;0;;"";;;;;;;;;;;4;"";0;0;1;0;0
3;42;4;2;2;4;4;4;6;2;1;0;1;3;"Kemija";4;5;4;5;3;3;6;2;2;1;4;"";0;0;0;1;0
3;18;4;2;2;4;1;3;5;2;0;0;1;4;"Neprirodna namirnica";3;4;4;5;4;2;6;1;2;2;4;"";0;0;0;1;0
3;39;4;4;1;3;4;2;5;3;1;0;0;4;"Umjetno";5;3;3;6;4;3;5;2;2;1;4;"";0;0;0;1;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;;"";0;1;0;0;0
2;26;4;4;1;5;2;2;4;2;0;0;1;3;"Odr?ivost";4;5;5;6;2;2;6;2;2;1;4;"";0;0;0;1;0
3;24;5;4;1;3;2;3;3;2;1;1;0;4;"????????? ????? ????? ????? ?????????";5;4;5;6;2;6;6;1;1;1;3;"";0;0;0;1;0
2;25;3;4;1;5;4;3;3;2;0;0;1;4;"Carne ""artificial""";3;4;2;5;5;4;6;2;2;1;5;"";0;0;0;1;0
3;27;4;4;1;4;3;4;5;2;0;0;1;4;"Skupo";3;3;4;6;3;2;5;1;2;1;4;"";0;0;0;1;0
3;45;4;2;2;4;3;3;4;2;1;0;0;3;"ne";2;3;2;4;4;3;7;2;2;2;4;"";0;0;0;1;0
3;28;5;4;2;5;4;4;4;1;1;0;0;3;"??????????";2;3;3;5;4;4;5;2;1;2;3;"";0;0;0;1;0
3;63;4;2;1;4;3;3;3;1;0;0;1;3;"Fuj";6;6;6;5;5;3;7;2;2;2;4;"";0;0;0;1;0
3;45;3;4;1;4;3;3;2;1;1;1;1;4;"no natural";2;3;2;4;5;4;2;2;2;2;5;"";0;0;0;1;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;4;"";0;1;0;0;0
3;24;4;4;1;4;4;4;5;3;0;0;1;6;"umjetno";3;4;2;5;3;3;5;1;2;1;4;"";0;0;0;1;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;4;"";0;1;0;0;0
3;48;3;4;1;;;;;;0;0;0;;"";;;;;;;;;;;;"";0;0;1;0;0
2;24;4;4;2;5;4;4;3;1;0;0;1;3;"5G ?ipovi";3;4;2;4;4;3;5;2;2;1;4;"";0;0;0;1;0
2;21;5;4;1;5;4;2;4;2;0;0;1;3;"???????????? ?????";3;3;3;5;4;2;5;1;1;1;3;"";0;0;0;1;0
3;26;5;4;1;4;4;3;3;1;0;0;1;3;"???????? ????????";4;4;4;5;3;6;5;1;2;1;3;"";0;0;0;1;0
3;51;4;3;1;5;3;3;4;3;0;0;1;4;"Bolest";2;3;2;5;5;3;4;2;2;2;;"";0;0;0;1;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;4;"";0;1;0;0;0
3;32;4;4;1;4;4;4;4;3;0;0;1;4;"Nista";3;3;2;3;5;3;2;2;2;2;4;"";0;0;0;1;0
3;28;4;4;1;4;4;3;4;2;0;0;1;3;"umjetno";3;3;4;5;4;4;2;2;2;1;4;"";0;0;0;1;0
3;50;5;4;1;4;4;4;3;2;1;0;0;4;"";;;;;;;;;;;3;"";0;0;1;0;0
3;39;3;4;1;3;3;3;1;2;1;1;1;3;"Fake meat";3;5;4;6;4;3;4;1;2;1;2;"";0;0;0;1;0
3;30;4;2;1;3;3;4;4;2;0;0;1;4;"Ni?ta jer nisam upoznata s time";3;4;3;4;4;3;4;2;2;2;4;"";0;0;0;1;0
3;58;3;4;1;3;3;4;6;2;0;0;1;4;"Es artificial";3;5;3;4;4;3;4;2;2;2;5;"";0;0;0;1;0
3;26;4;2;1;5;3;3;5;2;0;0;1;3;"Umjetno";3;3;3;5;3;3;2;1;2;1;4;"";0;0;0;1;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;4;"";0;1;0;0;0
3;34;3;4;1;4;3;3;3;2;1;1;0;3;"Me parece extraño";3;3;3;5;4;3;4;2;2;2;5;"";0;0;0;1;0
2;50;3;4;1;4;3;4;1;2;0;0;1;4;"Produced artificial";3;3;3;3;4;3;5;2;2;1;5;"";0;0;0;1;0
3;29;5;4;1;4;4;3;4;3;0;1;0;6;"??????? ?????";3;3;2;5;4;3;5;2;2;2;3;"";0;0;0;1;0
3;26;5;4;1;5;4;3;4;2;0;0;1;4;"???????";4;3;3;5;5;5;4;2;2;2;3;"";0;0;0;1;0
3;31;5;4;1;4;3;2;4;1;0;0;1;3;"????? ??? ????????????? ?? ??????? ?????";3;3;2;5;5;4;4;2;1;2;3;"";0;0;0;1;0
3;25;5;4;1;5;3;3;2;2;0;0;1;4;"???????";2;2;3;3;4;3;4;2;2;1;3;"";0;0;0;1;0
3;22;4;4;2;4;4;5;5;1;0;0;1;3;"umjetno";2;2;2;4;5;4;7;2;2;2;4;"";0;0;0;1;0
2;18;5;2;1;;;;;;0;0;0;;"";;;;;;;;;;;3;"";0;0;1;0;0
2;33;5;2;1;4;5;4;4;2;0;0;1;4;"????????????";2;2;2;3;4;4;4;2;2;2;3;"";0;0;0;1;0
3;25;3;4;1;4;2;2;3;2;0;1;0;4;"Que no procede directamente de un animal vivo.";3;4;3;5;4;3;5;2;2;2;;"";0;0;0;1;0
2;35;5;4;1;4;4;3;5;2;1;1;1;4;"??????";3;3;4;5;2;6;6;2;1;1;3;"";0;0;0;1;0
3;26;3;4;1;3;2;2;3;1;1;1;1;6;"una placa petri con celulas multiplicandose";4;5;5;5;4;2;5;1;1;1;5;"";0;0;0;1;0
2;23;4;2;1;4;4;4;6;4;0;0;1;4;"Ni?ta";4;2;2;2;5;4;7;2;2;2;4;"";0;0;0;1;0
3;18;5;2;1;4;3;2;2;1;1;0;0;3;"?? ????";2;3;3;3;3;3;4;2;2;1;3;"";0;0;0;1;0
2;42;5;4;1;4;4;4;4;2;0;0;1;3;"???????";2;2;4;4;4;3;5;2;2;2;3;"";0;0;0;1;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;5;"";0;1;0;0;0
3;35;4;4;1;4;4;2;5;2;0;0;1;4;"Umjetno";2;3;4;5;5;4;4;2;2;2;4;"";0;0;0;1;0
3;28;5;4;1;4;3;3;3;3;0;0;1;3;"?? ?? ?? ???????.";2;4;2;5;5;3;4;1;2;1;3;"";0;0;0;1;0
2;29;4;4;2;4;4;3;3;3;0;0;1;4;"Manjak okusa";3;3;6;5;5;4;5;2;2;2;4;"";0;0;0;1;0
2;25;5;4;1;2;1;1;1;1;0;0;1;3;"?????????";6;6;4;2;3;3;7;2;2;2;3;"";0;0;0;1;0
2;30;3;4;2;2;2;3;5;1;1;1;1;4;"Comida falsa";2;3;3;3;5;5;7;2;2;2;5;"";0;0;0;1;0
2;27;5;4;1;5;4;5;5;1;0;1;1;3;"???????";3;6;3;5;3;3;4;1;2;1;3;"";0;0;0;1;0
2;55;5;4;1;3;3;4;2;2;0;1;0;3;"??????";2;3;6;6;5;3;4;2;2;1;;"";0;0;0;1;0
3;25;3;4;1;3;2;2;2;2;1;1;1;4;"Lo importante que es la ciencia";4;5;4;6;4;3;6;1;2;1;5;"";0;0;0;1;0
2;29;5;4;1;4;4;4;4;2;0;0;1;4;"??????????";3;3;3;5;4;3;4;1;2;1;3;"";0;0;0;1;0
3;56;3;2;2;4;3;4;5;3;0;0;1;3;"Increíble";3;3;3;4;3;3;4;1;1;1;5;"";0;0;0;1;0
3;28;5;4;1;6;5;4;4;2;0;0;1;3;"????? ??? ??? ?????????? ??? ??????? ???? ??? ???????? ????? ???????????.";3;3;3;4;3;3;5;1;2;1;3;"";0;0;0;1;0
3;39;3;4;1;4;3;4;3;2;1;1;0;4;"Experimento";3;3;3;4;3;3;7;2;2;2;5;"";0;0;0;1;0
3;33;4;4;1;4;4;3;5;4;0;0;1;4;"Gubitak normalnog i prihvacanje nenormalnog";2;2;3;2;5;4;7;2;2;2;4;"";0;0;0;1;0
2;27;5;4;1;4;4;3;4;2;0;0;1;3;"??????????";4;4;3;5;2;6;6;1;2;1;3;"";0;0;0;1;0
3;37;3;4;2;3;2;2;2;1;1;0;0;6;"Hamburgesa";5;5;3;6;5;6;6;1;2;1;5;"";0;0;0;1;0
3;24;4;4;1;4;4;4;4;3;1;1;1;4;"";;;;;;;;;;;4;"";0;0;1;0;0
2;27;3;4;1;2;3;3;4;2;1;1;1;4;"A sustainable and harmless way of eating meat";3;5;4;6;4;2;5;1;2;1;2;"";0;0;0;1;0
2;34;4;4;2;1;1;1;1;1;1;1;0;4;"Manje okrutnosti, manji ekoloski otisak";5;5;3;6;2;3;7;1;1;1;4;"";0;0;0;1;0
2;60;5;4;1;3;3;3;3;2;1;0;1;4;"??????";4;4;3;5;3;3;6;1;1;1;3;"";0;0;0;1;0
3;25;4;4;1;4;4;3;4;3;0;0;1;6;"???????";3;5;3;6;3;3;5;2;2;1;3;"";0;0;0;1;0
2;35;3;4;1;4;3;3;3;3;1;1;0;3;"Tendría que asimilarlo un poco mas y asegurarme que el animal no sufre.";6;3;3;4;3;6;5;1;1;1;5;"";0;0;0;1;0
2;32;4;4;1;4;4;3;4;1;0;1;0;3;"";;;;;;;;;;;;"";0;0;1;0;0
3;45;4;4;1;4;4;3;4;1;1;0;1;3;"kontrolirana proizvodnja";3;3;4;5;4;2;6;1;2;1;4;"";0;0;0;1;0
3;23;5;2;1;5;5;5;5;1;1;1;1;4;"???????";4;4;3;6;3;3;6;1;2;2;3;"";0;0;0;1;0
2;25;4;4;1;4;4;3;4;3;0;0;1;4;"...";3;3;4;4;3;3;2;2;2;2;4;"";0;0;0;1;0
3;27;5;4;1;4;4;2;4;2;1;0;0;3;"Kitariki kaliergeia";3;3;4;4;2;2;5;2;2;1;3;"";0;0;0;1;0
3;27;5;4;1;4;3;2;4;1;0;0;1;3;"???????";3;4;3;5;4;3;4;2;2;1;3;"";0;0;0;1;0
2;26;5;4;1;4;4;4;4;2;1;1;1;4;"??????";3;3;2;5;4;2;5;2;2;1;3;"";0;0;0;1;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;4;"";0;1;0;0;0
3;35;4;2;1;3;2;4;3;2;1;1;1;3;"Ne?to novo neisprobano jos";3;4;3;5;2;2;2;1;2;2;4;"";0;0;0;1;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;2;"";0;1;0;0;0
3;37;4;2;2;3;3;4;4;2;0;0;1;3;"";;;;;;;;;;;4;"";0;0;1;0;0
3;22;5;4;1;4;4;4;6;2;1;0;0;3;"???????? ?????????????";4;4;3;5;6;2;5;1;1;1;3;"";0;0;0;1;0
3;21;4;2;1;5;4;5;6;3;1;0;0;3;"Glupost";2;3;2;4;3;3;2;2;2;2;4;"";0;0;0;1;0
2;60;3;4;1;3;4;4;3;3;0;1;1;4;"Duda";4;3;3;4;4;2;4;2;2;1;5;"";0;0;0;1;0
3;31;4;4;1;5;4;3;2;2;0;0;1;3;"Uff";3;2;3;3;5;3;4;1;2;1;4;"";0;0;0;1;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;4;"";0;1;0;0;0
2;56;3;4;1;3;2;3;3;2;0;0;1;3;"Algo artificial";3;4;3;5;4;3;4;1;2;2;5;"";0;0;0;1;0
3;37;3;4;1;;;;;;0;0;0;;"";;;;;;;;;;;5;"";0;0;1;0;0
2;27;5;4;1;4;1;2;4;1;1;0;0;3;"???????? ?????";3;4;3;5;2;3;4;2;2;1;3;"";0;0;0;1;0
2;53;4;2;2;4;3;1;2;2;0;0;1;3;"Nije prirodno";2;2;3;4;5;4;4;2;2;2;4;"";0;0;0;1;0
2;27;5;4;1;4;3;3;3;2;0;0;1;4;"????????????";3;3;3;5;3;3;5;2;2;2;3;"";0;0;0;1;0
2;28;3;4;1;5;4;2;4;2;0;1;1;6;"innovación";4;4;4;5;2;2;5;1;2;1;5;"";0;0;0;1;0
3;24;5;4;1;1;1;1;1;1;1;0;0;3;"????????????";4;4;4;5;4;3;6;2;2;2;3;"";0;0;0;1;0
3;38;4;3;2;4;3;3;4;2;0;0;1;3;"Nepoznato";2;3;3;6;5;3;4;2;2;2;4;"";0;0;0;1;0
3;25;3;4;1;4;3;3;2;1;0;0;1;3;"Artificial";3;4;4;6;4;2;4;1;1;1;5;"";0;0;0;1;0
3;25;5;3;1;4;2;2;4;2;1;0;0;3;"?????????????";2;3;4;4;3;3;2;2;2;1;3;"";0;0;0;1;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;;"";0;1;0;0;0
3;24;3;4;1;4;3;4;6;3;1;1;1;3;"Modificaciones genéticas de embriones de animales";3;3;4;4;4;2;5;1;1;1;5;"";0;0;0;1;0
2;23;5;4;1;4;3;4;4;2;1;0;1;6;"kyle xy";3;5;4;5;4;4;5;2;2;1;3;"";0;0;0;1;0
2;24;5;2;1;4;2;3;4;1;1;0;0;4;"??????";4;5;3;6;2;2;6;1;2;1;3;"";0;0;0;1;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;3;"";0;1;0;0;0
3;27;4;4;1;5;4;1;3;2;0;0;1;4;"Umjetno";3;3;4;4;4;3;7;2;2;2;4;"";0;0;0;1;0
2;31;5;4;2;1;1;1;1;1;0;1;0;6;"Cells";3;4;3;5;5;3;2;1;2;1;2;"";0;0;0;1;0
3;19;5;2;2;4;4;3;4;3;0;0;1;6;"??????????";6;6;2;2;5;5;4;2;2;1;3;"";0;0;0;1;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;2;"";0;1;0;0;0
3;60;4;4;1;3;2;3;3;2;0;1;1;4;"Smatram da je zdravo";4;4;4;5;2;2;5;1;1;1;4;"";0;0;0;1;0
3;23;3;4;2;4;5;4;6;3;1;0;0;4;"Artificial";6;2;3;3;4;3;4;2;2;2;5;"";0;0;0;1;0
3;26;4;4;1;1;1;1;1;1;1;1;1;6;"budu?nost";5;5;5;5;2;6;6;1;1;1;4;"";0;0;0;1;0
2;25;5;4;1;4;4;4;3;1;1;1;1;4;"????????";4;4;6;6;2;3;6;1;2;1;3;"";0;0;0;1;0
2;46;5;4;1;4;4;4;4;3;0;0;1;6;"??????? ??????????";3;4;3;6;3;2;6;1;2;1;3;"";0;0;0;1;0
3;38;4;4;2;4;4;4;4;3;0;0;1;3;"???";3;3;3;4;5;3;2;2;2;2;;"";0;0;0;1;0
3;35;3;4;1;4;4;4;4;3;1;1;1;3;"Desagradable";3;4;3;5;5;3;4;2;2;2;5;"";0;0;0;1;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;;"";0;1;0;0;0
2;26;3;4;1;4;3;3;4;2;0;0;1;4;"Desagradable";6;6;3;3;5;3;4;2;2;2;5;"";0;0;0;1;0
3;31;4;4;1;1;3;4;4;2;0;0;1;3;"";;;;;;;;;;;4;"";0;0;1;0;0
2;73;4;4;1;3;4;3;4;3;1;0;0;4;"Sta je to";3;3;4;4;3;2;6;1;2;1;4;"";0;0;0;1;0
3;41;4;4;1;4;4;4;4;3;0;1;1;3;"Nikad cula";3;5;3;5;3;3;4;2;2;2;4;"";0;0;0;1;0
3;60;5;4;1;4;3;3;3;3;0;1;0;3;"????????";2;2;3;4;4;4;4;2;2;2;3;"";0;0;0;1;0
2;51;5;4;1;4;4;4;4;2;0;1;0;3;"Soya meat";2;4;3;6;4;2;4;2;2;1;2;"";0;0;0;1;0
3;38;4;3;2;;;;;;0;0;0;;"";;;;;;;;;;;4;"";0;0;1;0;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;3;"";0;1;0;0;0
2;57;5;4;1;4;3;3;3;2;0;0;1;3;"?? ?????;";3;5;3;6;4;3;4;2;2;2;3;"";0;0;0;1;0
3;34;4;4;1;3;3;1;1;2;0;0;1;4;"Umjetno";2;3;3;6;4;3;5;2;2;2;4;"";0;0;0;1;0
3;37;4;4;1;3;3;3;3;2;0;0;1;3;"nemam mi?ljenje";3;4;4;5;3;3;5;1;2;1;4;"";0;0;0;1;0
3;19;5;2;1;3;3;2;3;1;1;1;1;4;"????? ??? ??? ?????????? ??? ????? ????";3;4;3;5;2;2;5;1;2;1;3;"";0;0;0;1;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;;"";0;1;0;0;0
3;30;5;4;1;4;3;4;3;1;1;0;0;3;"???????????";3;5;5;6;3;2;5;1;1;1;3;"";0;0;0;1;0
2;34;5;4;1;4;3;2;4;2;0;0;1;3;"?? ??????????? ?????";2;4;4;5;4;5;2;2;2;2;3;"";0;0;0;1;0
3;61;3;1;1;3;3;3;3;1;1;1;1;3;"basura";3;3;3;4;5;5;4;2;2;2;5;"";0;0;0;1;0
3;58;5;4;1;4;4;2;2;1;0;0;1;4;"";;;;;;;;;;;;"";0;0;1;0;0
3;32;5;3;1;2;3;4;2;2;1;0;0;3;"???????";3;4;4;5;5;3;4;2;2;2;3;"";0;0;0;1;0
3;35;5;4;1;3;3;3;6;2;0;0;1;6;"?????????????";2;2;3;3;4;3;4;2;2;2;;"";0;0;0;1;0
3;18;5;2;1;3;4;4;3;3;0;0;1;4;"?????????????? ?? ??????????";3;5;3;4;3;3;5;2;2;2;3;"";0;0;0;1;0
